,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials,City Temperature,Home Team Average Temperature,Away Team Average Temperature,Winning Team Average Temperature
709,1990.0,19 Jun 1990 - 21:00 ,Group A,Comunale,Florence ,Austria,2.0,1.0,USA,H,Austria, ,48.0,AUT,USA,33,7.0,8.55,7.0
710,1978.0,03 Jun 1978 - 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,2.0,1.0,Spain,H,Austria, ,2216.0,AUT,ESP,19,7.0,14.0,7.0
711,1982.0,17 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Chile,0.0,1.0,Austria,A,Austria, ,764.0,CHI,AUT,24,9.0,7.0,7.0
712,1982.0,21 Jun 1982 - 17:15 ,Group 2,Carlos Tartiere,Oviedo ,Algeria,0.0,2.0,Austria,A,Austria, ,739.0,ALG,AUT,24,24.0,7.0,7.0
713,1990.0,16 Jun 1990 - 21:00 ,Group C,Luigi Ferraris,Genoa ,Sweden,1.0,2.0,Scotland,A,Scotland, ,348.0,SWE,SCO,30,3.0,8.45,8.45
714,1974.0,14 Jun 1974 - 19:30 ,Group 2,Westfalenstadion,Dortmund ,Zaire,0.0,2.0,Scotland,A,Scotland, ,2176.0,ZAI,SCO,22,21.4,8.45,8.45
715,1978.0,11 Jun 1978 - 16:45 ,Group 4,San Martin,Mendoza ,Scotland,3.0,2.0,Netherlands,H,Scotland, ,2395.0,SCO,NED,13,8.45,10.0,8.45
716,1982.0,15 Jun 1982 - 21:00 ,Group 6,La Rosaleda,Malaga ,Scotland,5.0,2.0,New Zealand,H,Scotland, ,1051.0,SCO,NZL,32,8.45,10.0,8.45
717,1978.0,03 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,3.0,1.0,Scotland,H,Peru, ,2451.0,PER,SCO,16,20.0,8.45,20.0
718,1978.0,11 Jun 1978 - 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,4.0,1.0,Iran,H,Peru, ,2405.0,PER,IRN,16,20.0,19.0,20.0
719,1970.0,02 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Peru,3.0,2.0,Bulgaria,H,Peru, ,1780.0,PER,BUL,28,20.0,11.0,20.0
720,1970.0,06 Jun 1970 - 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Peru,3.0,0.0,Morocco,H,Peru, ,1893.0,PER,MAR,28,20.0,18.0,20.0
721,1990.0,11 Jun 1990 - 17:00 ,Group C,Luigi Ferraris,Genoa ,Costa Rica,1.0,0.0,Scotland,H,Costa Rica, ,127.0,CRC,SCO,30,26.0,8.45,26.0
722,2014.0,14 Jun 2014 - 16:00 ,Group D,Estadio Castelao,Fortaleza ,Uruguay,1.0,3.0,Costa Rica,A,Costa Rica, ,300186489.0,URU,CRC,28,17.0,26.0,26.0
723,1990.0,20 Jun 1990 - 21:00 ,Group C,Luigi Ferraris,Genoa ,Sweden,1.0,2.0,Costa Rica,A,Costa Rica, ,128.0,SWE,CRC,30,3.0,26.0,26.0
724,2014.0,20 Jun 2014 - 13:00 ,Group D,Arena Pernambuco,Recife ,Italy,0.0,1.0,Costa Rica,A,Costa Rica, ,300186500.0,ITA,CRC,28,13.0,26.0,26.0
725,2002.0,04 June 2002 - 15:30 ,Group C,Gwangju World Cup Stadium,Gwangju ,China PR,0.0,2.0,Costa Rica,A,Costa Rica, ,43950012.0,CHN,CRC,27,6.95,26.0,26.0
726,1934.0,03 Jun 1934 - 16:30 ,Semi-finals,Nazionale PNF,Rome ,Czech Republic,3.0,1.0,Germany,H,Czech Republic, ,1130.0,TCH,GER,29,8.0,9.0,8.0
727,1962.0,10 Jun 1962 - 14:30 ,Quarter-finals,Estadio El Teniente-Codelco,Rancagua ,Czech Republic,1.0,0.0,Hungary,H,Czech Republic, ,1525.0,TCH,HUN,15,8.0,11.0,8.0
728,1990.0,10 Jun 1990 - 17:00 ,Group A,Comunale,Florence ,USA,1.0,5.0,Czech Republic,A,Czech Republic, ,355.0,USA,TCH,33,8.55,8.0,8.0
729,2006.0,12 Jun 2006 - 18:00 ,Group E,"FIFA World Cup Stadium, Gelsenkirchen",Gelsenkirchen ,USA,0.0,3.0,Czech Republic,A,Czech Republic, ,97410010.0,USA,CZE,22,8.55,8.0,8.0
730,1990.0,15 Jun 1990 - 17:00 ,Group A,Comunale,Florence ,Austria,0.0,1.0,Czech Republic,A,Czech Republic, ,43.0,AUT,TCH,33,7.0,8.0,8.0
731,1934.0,31 May 1934 - 16:30 ,Quarter-finals,Stadio Benito Mussolini,Turin ,Czech Republic,3.0,2.0,Switzerland,H,Czech Republic, ,1143.0,TCH,SUI,31,8.0,8.0,8.0
732,1934.0,27 May 1934 - 16:30 ,Preliminary round,Littorio,Trieste ,Czech Republic,2.0,1.0,Romania,H,Czech Republic, ,1141.0,TCH,ROU,26,8.0,10.0,8.0
733,1962.0,13 Jun 1962 - 14:30 ,Semi-finals,Estadio Sausalito,Vina Del Mar ,Czech Republic,3.0,1.0,Yugoslavia,H,Czech Republic, ,1559.0,TCH,YUG,17,8.0,8.9,8.0
734,1958.0,15 Jun 1958 - 19:00 ,Group 1,Olympia Stadium,Helsingborg ,Czech Republic,6.0,1.0,Argentina,H,Czech Republic, ,1325.0,TCH,ARG,21,8.0,15.0,8.0
735,1962.0,31 May 1962 - 15:00 ,Group 3,Estadio Sausalito,Vina Del Mar ,Czech Republic,1.0,0.0,Spain,H,Czech Republic, ,1498.0,TCH,ESP,17,8.0,14.0,8.0
736,1938.0,05 Jun 1938 - 18:30 ,First round,Cavee Verte,Le Havre ,Czech Republic,3.0,0.0,Netherlands,H,Czech Republic,Czech Republic win after extra time ,1172.0,TCH,NED,18,8.0,10.0,8.0
737,1990.0,23 Jun 1990 - 21:00 ,Round of 16,Stadio San Nicola,Bari ,Czech Republic,4.0,1.0,Costa Rica,H,Czech Republic, ,129.0,TCH,CRC,29,8.0,26.0,8.0
738,1994.0,10 Jul 1994 - 12:00 ,Quarter-finals,Giants Stadium,New York/New Jersey ,Bulgaria,2.0,1.0,Germany,H,Bulgaria, ,3096.0,BUL,GER,34,11.0,9.0,11.0
739,1994.0,30 Jun 1994 - 19:30 ,Group D,Cotton Bowl,Dallas ,Argentina,0.0,2.0,Bulgaria,A,Bulgaria, ,3084.0,ARG,BUL,34,15.0,11.0,11.0
740,1994.0,26 Jun 1994 - 12:30 ,Group D,Soldier Field,Chicago ,Bulgaria,4.0,0.0,Greece,H,Bulgaria, ,3072.0,BUL,GRE,30,11.0,15.0,11.0
741,1986.0,13 Jun 1986 - 12:00 ,Group E,Estadio Corregidora,Queretaro ,Denmark,2.0,0.0,Germany,H,Denmark, ,512.0,DEN,FRG,24,-16.0,9.0,-16.0
